Lille,1,32,15,9,1,28,+18
Paris S-G,2,31,15,10,4,35,+25
Lyon,3,30,15,8,1,27,+14
Marseille,4,27,13,8,2,20,+8
Montpellier,5,26,15,8,5,25,+2
Rennes,6,25,15,7,4,22,+3
Lens,7,24,14,7,4,24,+3
Monaco,8,23,15,7,6,25,+2
Angers,9,23,15,7,6,20,-4
Brest,10,22,15,7,7,25,-2
Nice,11,21,14,6,5,18,+2
Metz,12,20,15,5,5,17,+1
Bordeaux,13,19,15,5,6,15,-2
Saint-Étienne,14,16,15,4,7,14,-7
Strasbourg,15,14,15,4,9,22,-4
Nantes,16,14,15,3,7,17,-9
Reims,17,13,15,3,8,20,-6
Lorient,18,11,15,3,10,15,-11
Nîmes,19,11,15,3,10,11,-18
Dijon,20,9,15,1,8,9,-15
