Milan,1,28,12,8,0,27,+14
Inter,2,27,12,8,1,30,+15
Juventus,3,24,12,6,0,24,+14
Roma,4,24,12,7,2,27,+10
Sassuolo,5,23,12,6,1,22,+9
Napoli,6,24,12,8,4,26,+14
Hellas Verona,7,19,12,5,3,16,+5
Atalanta,8,18,11,5,3,22,+5
Lazio,9,18,12,5,4,18,-2
Udinese,10,14,11,4,5,13,-1
Sampdoria,11,14,12,4,6,18,-2
Bologna,12,13,12,4,7,18,-6
Cagliari,13,13,12,3,5,18,-5
Parma,14,12,12,2,4,12,-7
Benevento,15,12,12,3,6,13,-10
Spezia,16,11,12,2,5,17,-8
Fiorentina,17,10,12,2,6,12,-8
Genoa,18,7,12,1,7,12,-12
Torino,19,6,12,1,8,20,-10
Crotone,20,6,12,1,8,10,-15
